mz,Intensity,Annotation
101.0709,3075.85,Unknown
102.05305,650.02,Unknown
102.05502,7881.04,Unknown
103.38032,604.926,Unknown
104.05294,870.95,Unknown
104.05563,654.293,Unknown
109.0282,763.072,Unknown
110.0688,893.108,Unknown
110.0713,7499.1,Unknown
111.05521,1087.85,Unknown
112.08697,2381.16,Unknown
113.07102,1051.79,Unknown
113.10905,1369.06,Unknown
113.50745,675.783,Unknown
114.11877,1385.07,Unknown
115.08645,3396.09,Unknown
116.07053,1533.21,Unknown
116.1254,1225.59,Unknown
117.12247,686.607,Unknown
118.36678,1027.85,Unknown
118.43634,761.227,Unknown
122.77088,846.775,Unknown
125.07072,1154.71,Unknown
126.05487,3834.71,Unknown
126.12781,42888.2,Identified
127.03905,1809.21,Unknown
127.05011,1359.32,Unknown
127.08669,876.793,Unknown
127.12492,39182,Identified
127.13111,35388.6,Identified
128.12827,46896.7,Identified
128.13441,43119.6,Identified
129.06593,1357.03,Unknown
129.13181,21229.2,Identified
129.13783,50180.9,Identified
130.04968,1255.53,Unknown
130.13504,42779.5,Identified
130.14113,55460.4,Identified
131.0703,1221.76,Unknown
131.13838,33326,Identified
131.14449,42183.3,Identified
132.14136,1253.86,Unknown
132.1478,1193.43,Unknown
134.87186,791.225,Unknown
136.07578,35817.1,Identified
137.07939,862.609,Unknown
138.05508,6785.35,Unknown
141.0661,1239.06,Unknown
141.10231,1783.89,Unknown
144.06557,2639.86,Unknown
145.06056,1561.1,Unknown
147.07697,935.06,Unknown
147.10147,3574.16,Unknown
148.06038,1081.85,Unknown
153.06596,1381.67,Unknown
155.08147,2697.14,Unknown
155.12592,2776.48,Unknown
156.12318,1020.89,Unknown
157.10817,969.825,Unknown
158.09236,1164.32,Unknown
158.18121,870.579,Unknown
159.07668,1461.74,Unknown
159.13306,2443.96,Unknown
159.13928,1465.13,Unknown
161.78276,1095.13,Unknown
165.05449,2455.56,Unknown
165.41183,874.336,Unknown
167.08159,2205.69,Unknown
167.76561,996.2,Unknown
168.06537,4691.06,Unknown
168.07007,1008.45,Unknown
168.25301,981.171,Unknown
169.09718,1700.36,Unknown
169.1335,3262.09,Unknown
171.07652,1718.14,Unknown
171.14937,6214.68,Unknown
173.05563,1534.13,Unknown
173.09238,957.107,Unknown
173.14946,3318.9,Unknown
175.11382,1485.16,Unknown
175.11913,21286.4,Contaminant
176.16013,5392.88,Unknown
176.16527,1337.62,Unknown
181.06007,1312.97,Unknown
181.09723,1158.99,Unknown
182.08141,9147.83,Contaminant
183.11299,3448.84,Unknown
185.05557,1178.96,Unknown
185.09221,1385.38,Unknown
185.16489,7784.08,Unknown
186.07629,2092.69,Unknown
186.15295,2660.19,Unknown
187.07149,2526.15,Unknown
188.15959,4158.55,Unknown
193.09711,3238.22,Unknown
193.16805,1028.46,Unknown
195.07657,1549.32,Unknown
195.08757,1223.78,Unknown
197.12851,1762.24,Unknown
199.07147,1736.45,Unknown
199.10771,2808.09,Unknown
199.14432,5202.21,Contaminant
201.08696,1438.3,Unknown
201.1239,5433.95,Unknown
203.06641,1341.62,Unknown
204.08682,6636.02,Unknown
211.14345,1131.69,Unknown
212.10313,2285.54,Unknown
213.08704,2136.82,Unknown
213.16005,2518.33,Unknown
215.1391,2498.19,Unknown
217.08212,1962.01,Unknown
221.09172,2559.45,Unknown
226.11896,4000.71,Unknown
227.10271,2514.74,Unknown
229.06435,1503.52,Unknown
229.11848,6429.88,Unknown
229.16669,2395.23,Unknown
230.1701,46334.9,Identified
231.06139,1687.45,Unknown
231.09732,3285.38,Unknown
231.17351,3589.35,Unknown
239.10292,2222.62,Unknown
241.08185,4022.69,Unknown
242.11383,1288.73,Unknown
245.07639,1347.28,Unknown
247.19702,1212.85,Unknown
247.57669,1203.52,Unknown
248.18063,7586.98,Unknown
251.10277,2630.5,Unknown
251.15001,1082.34,Unknown
255.11049,1369.73,Unknown
259.09259,8508.58,Unknown
259.19727,1305.5,Unknown
260.09555,1350.4,Unknown
261.14481,2123.05,Unknown
266.12531,1056.55,Unknown
266.14944,1602.63,Unknown
269.12592,1490.79,Unknown
272.17148,3611.53,Unknown
273.11899,2502.57,Unknown
273.2121,1653.74,Unknown
274.0921,1688.26,Unknown
278.11334,1884.28,Unknown
279.09753,3505.11,Unknown
284.12363,2133.27,Unknown
286.08542,1476.87,Unknown
287.19183,2942.23,Unknown
290.11371,5897.91,Unknown
292.19257,1171.34,Unknown
301.20853,1560.05,Unknown
302.1857,2016.97,Unknown
310.17673,1383.74,Unknown
312.15546,1226.4,Unknown
313.24457,1994.1,Unknown
314.09827,2598.55,Unknown
314.54422,1851.78,Unknown
320.21991,6936.77,Contaminant
320.55417,2645.9,Unknown
328.11353,1345.53,Unknown
328.18723,1560.94,Unknown
330.23383,2561.21,Unknown
330.27115,1270.88,Unknown
331.21814,4904.78,Unknown
336.11896,4937.78,Unknown
340.15005,3576.22,Unknown
342.12878,1877.52,Unknown
343.10815,1816.41,Unknown
345.19736,2783.13,Unknown
354.1297,6882.65,Unknown
358.16055,6461.11,Unknown
358.22845,5257.68,Unknown
359.21326,16875.9,Unknown
366.13989,2437.65,Unknown
367.27029,6705.27,Unknown
367.77249,2641.87,Unknown
369.18777,1591.61,Unknown
376.27579,22974.2,Identified
377.27985,1872.71,Unknown
386.2153,1576.73,Unknown
388.23987,1847.21,Unknown
391.19257,1150.6,Unknown
393.14063,1788.53,Unknown
394.12476,2018.57,Unknown
405.73236,1399.03,Unknown
411.22394,1517.93,Unknown
422.29501,1695.72,Unknown
422.78717,3646.18,Unknown
423.28802,1228.2,Unknown
424.84134,1245.08,Unknown
430.28674,2932.48,Unknown
431.17386,1165.83,Unknown
431.30081,11257.6,Unknown
431.80121,5552.83,Unknown
432.22949,1545.03,Unknown
447.31116,1476.74,Unknown
448.06271,1239.65,Unknown
451.14676,1704.38,Unknown
451.18594,1645.34,Unknown
453.20911,1481.43,Unknown
453.34418,3164.79,Unknown
456.72571,1563.16,Unknown
458.28171,12966.9,Unknown
459.28476,3150.04,Unknown
460.26071,2024.9,Unknown
462.30728,2759.81,Unknown
463.30807,1490.41,Unknown
468.19086,1669.94,Unknown
469.23102,1654.21,Unknown
473.32925,4599.78,Unknown
477.32388,1672.44,Unknown
477.34985,1445.54,Unknown
477.67218,2712.71,Unknown
478.9447,1305.55,Unknown
479.32513,10624.1,Unknown
479.82684,191284,Identified
480.32819,83791.9,Identified
480.82968,17663.9,Unknown
481.3327,1784.98,Unknown
483.23254,1855.69,Unknown
489.36124,2256.45,Unknown
493.29739,2053.34,Unknown
496.91641,1481.06,Unknown
504.33438,1683.23,Unknown
508.16855,1579.04,Unknown
514.31964,1684.98,Unknown
517.19354,3139.38,Unknown
521.29407,5042.35,Unknown
528.19537,2869.36,Unknown
530.35217,1792.53,Unknown
535.86719,2272.46,Unknown
536.36908,44710.3,Identified
536.86993,18084.7,Identified
537.37231,5625.06,Unknown
542.1947,1887.93,Unknown
544.36548,1739.15,Unknown
549.2666,1738.2,Unknown
549.35895,3488.98,Unknown
551.75238,1579.84,Unknown
555.15558,3531.84,Unknown
555.38177,2056.76,Unknown
556.15674,1596.17,Unknown
559.33002,4660.58,Unknown
560.3327,2017.19,Unknown
562.34143,1922.74,Unknown
569.15234,1447.57,Unknown
569.29138,1568.87,Unknown
575.41052,2239.98,Unknown
576.4079,1996.27,Unknown
577.40686,1208.34,Unknown
578.31671,3364.14,Unknown
578.41779,2594.6,Unknown
579.41748,2438.94,Unknown
583.37793,3865.76,Unknown
585.90381,33611.5,Identified
586.40619,17606.8,Unknown
586.90607,3869.13,Unknown
587.26642,19972.8,Unknown
587.32471,19108.9,Unknown
588.27069,8612.25,Unknown
588.32574,6498.55,Unknown
598.3443,2632.9,Unknown
599.70984,2593.7,Unknown
601.38818,6327.27,Contaminant
602.39154,1617.99,Unknown
615.26093,3181.1,Unknown
616.26746,2204.2,Unknown
626.66479,1607.01,Unknown
635.33618,4110.62,Unknown
635.43677,10221.9,Unknown
635.93805,8252.71,Unknown
636.43951,2357.31,Unknown
644.38977,1492.93,Unknown
645.41492,3071.36,Unknown
646.32922,1485.03,Unknown
648.41193,1274.48,Unknown
664.36499,2149.97,Unknown
671.35956,1522.36,Unknown
675.65558,1952.13,Unknown
685.31702,1874.41,Unknown
688.3725,4778.64,Unknown
690.95251,2094.99,Unknown
691.45081,1596.34,Unknown
691.95673,1925.16,Unknown
692.35712,13405.5,Unknown
694.3269,13797.3,Unknown
695.32593,2647.93,Unknown
699.49365,2063.22,Unknown
699.95685,6739.87,Unknown
700.45953,4840.73,Unknown
700.95844,1627.11,Unknown
703.33813,3753.72,Unknown
703.46783,2581.97,Unknown
704.33893,1619.93,Unknown
704.46368,1455.93,Unknown
705.39771,1663.1,Unknown
714.47662,1682.07,Unknown
716.36676,15289.8,Unknown
717.34399,6677.15,Unknown
717.85175,4961.14,Unknown
719.8139,1664.53,Unknown
726.43622,1386.14,Unknown
727.41913,2289.46,Unknown
728.42261,1670.59,Unknown
728.81531,2226.56,Unknown
729.48254,4537.52,Unknown
730.4892,1676.57,Unknown
733.39404,4823.62,Unknown
733.53638,6707.17,Unknown
734.39539,2202.86,Unknown
734.5415,2182.98,Unknown
750.29028,1393.69,Unknown
753.33014,2505,Unknown
753.82343,2657.84,Unknown
755.47437,3898.17,Unknown
755.97534,2238.1,Unknown
759.41058,2604.98,Unknown
760.32568,3881.11,Unknown
762.33508,22318.7,Identified
762.836,13783,Unknown
764.47864,2415.14,Unknown
764.98151,4552.99,Unknown
765.35132,9730.43,Unknown
765.47961,2407.87,Unknown
765.87134,2821.08,Unknown
766.35309,6406.17,Unknown
771.33887,9111.49,Unknown
771.84021,4219.17,Unknown
777.32581,11785.4,Unknown
783.49677,1745.56,Unknown
784.44208,3273.65,Unknown
792.14288,1630.48,Unknown
800.52228,17372.6,Identified
801.40826,1882.65,Unknown
801.51904,25250.8,Identified
801.9093,2514.07,Unknown
802.52032,19137.8,Identified
803.52771,20623,Identified
804.35815,2866.51,Unknown
804.52728,21771.7,Contaminant
805.53009,6148.01,Unknown
805.83636,2262.79,Unknown
809.34998,4647.15,Unknown
810.35522,2033.41,Unknown
811.32983,3864.53,Unknown
811.8291,2375.15,Unknown
813.38312,3383.3,Unknown
813.46661,1816.91,Unknown
815.40735,5801.93,Unknown
815.90979,1759.05,Unknown
824.48169,1691.24,Unknown
826.37439,1782.8,Unknown
827.1814,1494.93,Unknown
827.42578,10503,Unknown
829.3811,2752.83,Unknown
830.50043,1670.43,Unknown
831.39368,20363.7,Unknown
832.39752,6938.03,Unknown
841.46021,9091.28,Unknown
841.96063,14817.7,Unknown
844.5672,1388.14,Unknown
850.46649,1628.28,Unknown
850.9679,3252,Unknown
854.40778,2342.37,Unknown
855.42059,15494.1,Identified
856.42133,2853.43,Unknown
858.87762,1751.27,Unknown
859.3783,14397.8,Unknown
859.87518,2519.22,Unknown
861.59143,3059.36,Unknown
866.38092,1973.11,Unknown
868.38336,9658.43,Unknown
870.83197,1617.37,Unknown
871.9494,2153.02,Unknown
873.13153,2032.33,Unknown
874.09991,1940.75,Unknown
874.78021,6400.04,Unknown
878.52356,1904.54,Unknown
880.78674,1661.85,Unknown
886.41656,1843.92,Unknown
889.36975,1750.32,Unknown
890.95337,4484.76,Unknown
899.9566,1688.99,Unknown
900.41241,10772.4,Unknown
901.3681,6453.15,Unknown
901.88159,3328.34,Unknown
906.66656,2572.76,Unknown
906.914,1656.92,Unknown
907.43005,4491.98,Unknown
908.36505,4148.07,Unknown
911.16895,11596.9,Unknown
911.41278,5802.59,Unknown
912.44318,8590.7,Unknown
913.44434,1864.12,Unknown
913.60345,2647.01,Unknown
914.60217,4614.58,Unknown
915.42169,12054.9,Unknown
915.60486,2380.05,Unknown
915.67029,31156.6,Contaminant
915.91718,5561.71,Unknown
916.61237,4755.04,Unknown
917.60999,2452.23,Unknown
920.17615,16771.2,Identified
929.46478,15592.8,Unknown
929.96582,9371.18,Unknown
939.54803,25461.2,Identified
940.16846,3767.52,Unknown
941.47766,3015.72,Unknown
