mz,Intensity
101.0709,3075.85
102.05305,650.02
102.05502,7881.04
103.38032,604.926
104.05294,870.95
104.05563,654.293
109.0282,763.072
110.0688,893.108
110.0713,7499.1
111.05521,1087.85
112.08697,2381.16
113.07102,1051.79
113.10905,1369.06
113.50745,675.783
114.11877,1385.07
115.08645,3396.09
116.07053,1533.21
116.1254,1225.59
117.12247,686.607
118.36678,1027.85
118.43634,761.227
122.77088,846.775
125.07072,1154.71
126.05487,3834.71
126.12781,42888.2
127.03905,1809.21
127.05011,1359.32
127.08669,876.793
127.12492,39182
127.13111,35388.6
128.12827,46896.7
128.13441,43119.6
129.06593,1357.03
129.13181,21229.2
129.13783,50180.9
130.04968,1255.53
130.13504,42779.5
130.14113,55460.4
131.0703,1221.76
131.13838,33326
131.14449,42183.3
132.14136,1253.86
132.1478,1193.43
134.87186,791.225
136.07578,35817.1
137.07939,862.609
138.05508,6785.35
141.0661,1239.06
141.10231,1783.89
144.06557,2639.86
145.06056,1561.1
147.07697,935.06
147.10147,3574.16
148.06038,1081.85
153.06596,1381.67
155.08147,2697.14
155.12592,2776.48
156.12318,1020.89
157.10817,969.825
158.09236,1164.32
158.18121,870.579
159.07668,1461.74
159.13306,2443.96
159.13928,1465.13
161.78276,1095.13
165.05449,2455.56
165.41183,874.336
167.08159,2205.69
167.76561,996.2
168.06537,4691.06
168.07007,1008.45
168.25301,981.171
169.09718,1700.36
169.1335,3262.09
171.07652,1718.14
171.14937,6214.68
173.05563,1534.13
173.09238,957.107
173.14946,3318.9
175.11382,1485.16
175.11913,21286.4
176.16013,5392.88
176.16527,1337.62
181.06007,1312.97
181.09723,1158.99
182.08141,9147.83
183.11299,3448.84
185.05557,1178.96
185.09221,1385.38
185.16489,7784.08
186.07629,2092.69
186.15295,2660.19
187.07149,2526.15
188.15959,4158.55
193.09711,3238.22
193.16805,1028.46
195.07657,1549.32
195.08757,1223.78
197.12851,1762.24
199.07147,1736.45
199.10771,2808.09
199.14432,5202.21
201.08696,1438.3
201.1239,5433.95
203.06641,1341.62
204.08682,6636.02
211.14345,1131.69
212.10313,2285.54
213.08704,2136.82
213.16005,2518.33
215.1391,2498.19
217.08212,1962.01
221.09172,2559.45
226.11896,4000.71
227.10271,2514.74
229.06435,1503.52
229.11848,6429.88
229.16669,2395.23
230.1701,46334.9
231.06139,1687.45
231.09732,3285.38
231.17351,3589.35
239.10292,2222.62
241.08185,4022.69
242.11383,1288.73
245.07639,1347.28
247.19702,1212.85
247.57669,1203.52
248.18063,7586.98
251.10277,2630.5
251.15001,1082.34
255.11049,1369.73
259.09259,8508.58
259.19727,1305.5
260.09555,1350.4
261.14481,2123.05
266.12531,1056.55
266.14944,1602.63
269.12592,1490.79
272.17148,3611.53
